의안번호,대수,법률안명,제안자,대표발의자,공동발의자,상세페이지,소관위원회,제안일,처리상태,제안자목록링크
2114727,21,도시숲 등의 조성 및 관리에 관한 법률 일부개정법률안,어기구의원 등 10인,어기구,"김정호,김주영,박상혁,박정,송갑석,윤준병,이병훈,허종식,홍영표",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_I2R2Z0Q2T0P8P1X7K2A8W5Y8R9Q4H4&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_I2R2Z0Q2T0P8P1X7K2A8W5Y8R9Q4H4
2114726,21,국회법 일부개정법률안,배준영의원 등 11인,배준영,"구자근,김예지,박완수,양금희,이용,조명희,조수진,지성호,최춘식,태영호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2F1F1B1Y0K2X2L0D2C8K4S1F8V7D2&ageFrom=21&ageTo=21,국회운영위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2F1F1B1Y0K2X2L0D2C8K4S1F8V7D2
2114725,21,신에너지 및 재생에너지 개발·이용·보급 촉진법 일부개정법률안,박진의원등40인,박진,"구자근,권명호,권성동,김도읍,김석기,김선교,김영식,김정재,박완수,배준영,서정숙,성일종,신원식,엄태영,유경준,유상범,윤상현,이명수,이양수,이주환,이채익,전주혜,정경희,정운천,정진석,조명희,조태용,조해진,지성호,최춘식,최형두,추경호,태영호,하영제,한기호,한무경,허은아,홍문표,황보승희",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2C2V0O2Q0I3E1R5S2C3O5I2C9R7T7&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A2C2V0O2Q0I3E1R5S2C3O5I2C9R7T7
2114724,21,의료법 일부개정법률안,김원이의원 등 11인,김원이,"기동민,박상혁,박재호,서영석,신정훈,우원식,이해식,최종윤,최혜영,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_K2C2H0T1H2J7G1P4G1V9C4Q4G7N5B8&ageFrom=21&ageTo=21,보건복지위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_K2C2H0T1H2J7G1P4G1V9C4Q4G7N5B8
2114723,21,조세특례제한법 일부개정법률안,김주영의원 등 11인,김주영,"고용진,김수흥,박정,어기구,오영환,위성곤,윤재갑,윤후덕,이병훈,이원욱",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_N2D2M0T1U1J3R1H0Z4E3X3Y3Q9W1R1&ageFrom=21&ageTo=21,기획재정위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_N2D2M0T1U1J3R1H0Z4E3X3Y3Q9W1R1
2114722,21,디지털헬스케어산업의 육성 및 지원에 관한 법률안,정태호의원 등 11인,정태호,"김경만,박성준,신영대,이동주,임호선,전재수,정일영,천준호,허영,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2Q2L0W1T2Q6F1R4H2E3V4P0D5F3R4&ageFrom=21&ageTo=21,산업통상자원중소벤처기업위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2Q2L0W1T2Q6F1R4H2E3V4P0D5F3R4
2114721,21,약사법 일부개정법률안,김원이의원등11인,김원이,"기동민,박상혁,박재호,서영석,신정훈,우원식,이해식,최종윤,최혜영,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2W2O0R1C2Q7W1N4X2O1V3A0K1R7P2&ageFrom=21&ageTo=21,보건복지위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_O2W2O0R1C2Q7W1N4X2O1V3A0K1R7P2
2114720,21,응급의료에 관한 법률 일부개정법률안,김원이의원등14인,김원이,"강준현,기동민,박상혁,박재호,박홍근,서영석,신정훈,우원식,이해식,조오섭,최종윤,최혜영,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2T2S0X1K2L7T1F4T2L5E3Z1X7L1R9&ageFrom=21&ageTo=21,보건복지위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2T2S0X1K2L7T1F4T2L5E3Z1X7L1R9
2114719,21,항만지역 등 대기질 개선에 관한 특별법 일부개정법률안,맹성규의원 등 14인,맹성규,"강득구,권인숙,김민기,김영호,김정호,김한정,소병철,송옥주,신정훈,안규백,양이원영,위성곤,한준호",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2J1W1V2W1H4L1Z4D2U2S0X0A9D8U3&ageFrom=21&ageTo=21,농림축산식품해양수산위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Z2J1W1V2W1H4L1Z4D2U2S0X0A9D8U3
2114718,21,형법 일부개정법률안,태영호의원 등 12인,태영호,"강기윤,구자근,권명호,김병욱,김희곤,박수영,배준영,서일준,이종배,이주환,조경태",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Q2K2Q0H2M0N4I1B1N0F5C0H5D8K1Q3&ageFrom=21&ageTo=21,법제사법위원회,2022-02-10,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_Q2K2Q0H2M0N4I1B1N0F5C0H5D8K1Q3
2114717,21,소음·진동관리법 일부개정법률안,이헌승의원 등 14인,이헌승,"김승수,김은혜,김태흠,박덕흠,박성민,서병수,유의동,이양수,이주환,이채익,전봉민,조명희,황보승희",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2G2Y0O1A2H4H1G7U5F4Z0R4O5X0Y8&ageFrom=21&ageTo=21,환경노동위원회,2022-02-09,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A2G2Y0O1A2H4H1G7U5F4Z0R4O5X0Y8
2114716,21,드론 활용의 촉진 및 기반조성에 관한 법률 일부개정법률안,이헌승의원등14인,이헌승,"김승수,김은혜,김태흠,박덕흠,박성민,서병수,안병길,유의동,이양수,이주환,전봉민,하영제,황보승희",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2K2J0G1H2Z4K1O7U4W6L3S4O3H5A3&ageFrom=21&ageTo=21,국토교통위원회,2022-02-09,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_R2K2J0G1H2Z4K1O7U4W6L3S4O3H5A3
2114715,21,영유아보육법 일부개정법률안,강선우의원 등 12인,강선우,"김병기,박홍근,변재일,신동근,오영환,윤준병,이학영,임종성,최종윤,허영,홍성국",http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_A2J1L1U2M2I7W1G5N5Z7A3A6B1D6Z6&ageFrom=21&ageTo=21,보건복지위원회,2022-02-09,null,http://likms.assembly.go.kr/bill/coactorListPopup.do?billId=PRC_A2J1L1U2M2I7W1G5N5Z7A3A6B1D6Z6
